MolName	MolCounts
EG10653_RNA__alpha	1
EG10654_RNA__PD00288	0
EG10654_RNA__PC00027	0
EG10654_RNA__FNR-4FE-4S-CPLX	0
EG10654_RNA__alpha	1
EG10655_RNA__CPLX0-7705	0
EG10655_RNA__PD00288	0
EG10655_RNA__PC00027	0
EG10655_RNA__FNR-4FE-4S-CPLX	0
EG10655_RNA__alpha	1
EG10656_RNA__alpha	1
EG10657_RNA__alpha	1
EG10658_RNA__alpha	1
EG10659_RNA__PC00027	0
EG10659_RNA__alpha	1
EG10660_RNA__CPLX0-7705	0
EG10660_RNA__MONOMER0-160	0
EG10660_RNA__alpha	1
EG10661_RNA__CPLX0-7705	0
EG10661_RNA__MONOMER0-160	0
EG10661_RNA__alpha	1
EG10662_RNA__alpha	1
EG10663_RNA__alpha	1
EG10664_RNA__alpha	1
EG10665_RNA__alpha	1
EG10666_RNA__alpha	1
EG10667_RNA__alpha	1
EG10668_RNA__PHOSPHO-NARL	0
EG10668_RNA__alpha	1
EG10669_RNA__alpha	1
EG10670_RNA__alpha	1
EG10671_RNA__alpha	1
EG10672_RNA__PC00027	0
EG10672_RNA__alpha	1
EG10673_RNA__alpha	1
EG10674_RNA__MONOMER0-155	0
EG10674_RNA__alpha	1
EG10675_RNA__MONOMER0-155	0
EG10675_RNA__alpha	1
EG10676_RNA__MONOMER0-155	0
EG10676_RNA__alpha	1
EG10677_RNA__alpha	1
EG10678_RNA__alpha	1
EG10679_RNA__alpha	1
EG10680_RNA__MONOMER0-155	0
EG10680_RNA__alpha	1
EG10681_RNA__alpha	1
EG10682_RNA__alpha	1
EG10683_RNA__alpha	1
EG10684_RNA__alpha	1
EG10685_RNA__alpha	1
EG10686_RNA__alpha	1
EG10687_RNA__alpha	1
EG10688_RNA__alpha	1
EG10689_RNA__alpha	1
EG10690_RNA__alpha	1
EG10691_RNA__alpha	1
EG10693_RNA__alpha	1
EG10694_RNA__alpha	1
EG10695_RNA__alpha	1
EG10696_RNA__alpha	1
EG10697_RNA__alpha	1
EG10698_RNA__alpha	1
EG10699_RNA__alpha	1
