MolName	MolCounts
MONOMER0-146[c]	1
CPLX0-225[c]	2
MONOMER-162[c]	3
CPLX0-227[c]	5
MONOMER0-147[c]	0
CPLX0-229[c]	0
RNTRACTIV-MONOMER[c]	0
CPLX0-230[c]	7
ICITDEHASE-KIN-PHOSPHA[c]	1
CPLX0-231[i]	304
GATC-MONOMER[i]	0
GATB-MONOMER[c]	768
GATA-MONOMER[c]	1088
CPLX0-232[i]	2
GLVC-MONOMER[i]	0
GLVB-MONOMER[i]	3
CPLX0-234[c]	20
G7423-MONOMER[c]	0
CPLX0-235[i]	1230
MONOMER-43[i]	0
CPLX0-2361[c]	32
EG10238-MONOMER[c]	0
EG10243-MONOMER[c]	249
EG11505-MONOMER[c]	1982
CPLX0-236[c]	17
G6770-MONOMER[c]	0
CPLX0-237[c]	0
SERINE-O-ACETTRAN-MONOMER[c]	0
CPLX0-2381[s]	0
PPK-CPLX[s]	57
CPLX0-3461[i]	0
CPLX0-3541[c]	700
CPLX0-3521[c]	843
ENOLASE-CPLX[c]	6953
CPLX0-238[c]	626
ARGSUCCINSYN-MONOMER[c]	1
CPLX0-2401[c]	0
TRYPSYN-BPROTEIN[c]	1
CPLX0-240[c]	4
TAGAALDOL1-MONOMER[c]	0
G7631-MONOMER[c]	5
CPLX0-241[c]	3856
TAGAALDOL2-MONOMER[c]	2337
G7128-MONOMER[c]	0
CPLX0-2423[i]	0
EG10686-MONOMER[i]	0
CPLX0-2424[i]	82
EG10687-MONOMER[c]	146
CPLX0-2425[c]	314
EG10423-MONOMER[c]	131
EG10424-MONOMER[c]	0
CPLX0-242[c]	130
EG10395-MONOMER[c]	0
CPLX0-243[c]	2151
INORGPYROPHOSPHAT-MONOMER[c]	2
CPLX0-2441[c]	666
EG10845-MONOMER[c]	3
CPLX0-244[c]	198
EG11261-MONOMER[c]	1
CPLX0-245[c]	240
EG11384-MONOMER[c]	45150
EG11385-MONOMER[c]	0
CPLX0-246[c]	271
G6906-MONOMER[c]	1
CPLX0-248[c]	973
G7325-MONOMER[c]	1
CPLX0-2502[c]	85
EG11597-MONOMER[c]	1
EG11598-MONOMER[c]	124
CPLX0-250[i]	2
MONOMER0-150[c]	4
MONOMER0-151[c]	7
MONOMER0-152[c]	0
MONOMER0-153[i]	6
MONOMER0-154[i]	2
MONOMER0-141[i]	1
MONOMER0-142[i]	2
MONOMER0-143[i]	6
MONOMER0-144[p]	18
CPLX0-251[c]	0
G6198-MONOMER[c]	0
CPLX0-2521[c]	72
MONOMER0-1501[c]	0
CPLX0-252[c]	274
FABH-MONOMER[c]	1
CPLX0-253[c]	381
EG12656-MONOMER[c]	1
CPLX0-2541[i]	151
MONOMER0-185[i]	0
CPLX0-254[c]	3
G7516-MONOMER[c]	1
CPLX0-255[c]	1
G7492-MONOMER[c]	2
CPLX0-2561[c]	37
CPLX0-7696[c]	72
CPLX0-7697[c]	0
CPLX0-2621[i]	15
MONOMER0-1564[i]	0
CPLX0-2641[i]	672
EG10461-MONOMER[i]	0
CPLX0-2661[c]	33
EG10574-MONOMER[c]	91
EG10575-MONOMER[c]	0
CPLX0-2681[c]	143
EG10978-MONOMER[c]	0
CPLX0-2802[c]	171
EG12193-MONOMER[c]	0
CPLX0-2861[c]	0
EG10116-MONOMER[c]	1
CPLX0-2881[c]	107
EG10542-MONOMER[c]	0
CPLX0-2921[i]	83
EG10463-MONOMER[i]	3
CPLX0-2941[i]	41
EG10968-MONOMER[i]	3
CPLX0-2982[i]	97
EG11506-MONOMER[i]	0
CPLX0-3001[c]	866
EG10695-MONOMER[c]	0
CPLX0-301[i]	25
EG11396-MONOMER[i]	1
CPLX0-3021[c]	29
G7925-MONOMER[c]	0
CPLX0-303[c]	171
EG11517-MONOMER[c]	1
CPLX0-3041[c]	105
EG11549-MONOMER[c]	1
CPLX0-3061[c]	88
EG10694-MONOMER[c]	4
CPLX0-3081[c]	99
EG10697-MONOMER[c]	0
CPLX0-3101[c]	0
EG10158-MONOMER[c]	12
CPLX0-3102[c]	90
EG10159-MONOMER[c]	3
CPLX0-3104[c]	30
CPLX0-881[c]	52
CPLX0-3107[c]	36
CPLX0-3108[c]	38
CPLX0-3121[c]	161
EG11723-MONOMER[c]	0
CPLX0-3141[c]	707
EG12657-MONOMER[c]	1
CPLX0-3161[c]	52
MONOMER0-1981[c]	2
CPLX0-3181[c]	3219
MONOMER0-2001[c]	1
CPLX0-3201[p]	121
EG10580-MONOMER[p]	0
CPLX0-321[c]	89
PDXJ-MONOMER[c]	7
CPLX0-3221[c]	27
YRAO-MONOMER[c]	0
CPLX0-322[c]	128
GSK-MONOMER[c]	1
CPLX0-3241[i]	0
NAPG-MONOMER[i]	0
NAPH-MONOMER[i]	2
CPLX0-3281[c]	0
EG10857-MONOMER[c]	581
CPLX0-3301[c]	1215
EG11111-MONOMER[c]	1
CPLX0-3323[i]	0
EG12054-MONOMER[i]	0
EG12053-MONOMER[i]	29
