Matches	Ontology -  all instances of class from New SmartTable with a nucleotide	Synonyms	Object ID
a nucleotide	UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate	UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine // UDP-N-acetyl-alpha-D-glucosamine-3-O-pyruvate ether // UDP-N-acetyl-3-(1-carboxyvinyl)-alpha-D-glucosamine // UDP-GlcNAc-pyruvate enol ether // UDP-GlcNAc-enolpyruvate	UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE
a nucleotide	UDP-N-acetyl-alpha-D-mannosamine	uridine diphosphate N-acetylmannosamine // uridine 5'-(trihydrogen diphosphate), P'-(2-(acetylamino)-2-deoxy-alpha-D-mannopyranosyl) ester // UDP-acetylmannosamine // UDP-ManNAc	UDP-MANNAC
a nucleotide	UDP-N-acetyl-alpha-D-mannosaminuronate	UDP-ManNAcA	UDP-MANNACA
a nucleotide	UDP-N-acetyl-alpha-D-muramate	dihydro-UDP-MurNAc // dihydro-UDP-N-acetylmuramic acid // dihydro-UDP-N-acetylmuramate // uridine diphosphate N-acetylmuramic acid // UDP-N-acetylmuramic acid // UDP-N-acetyl-D-muramate // UDP-MurNAc // UDP-N-acetylmuramoyl // -O-[(1R)-1-carboxyethyl]-2-acetoxy-2-deoxy-D-glucopyranose	UDP-N-ACETYLMURAMATE
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanine	UDP-N-acetyl-alpha-D-muramyl-L-Ala	CPD0-1456
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate		UDP-AA-GLUTAMATE
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysine		CPD-209
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	UDP-Mur2Ac(oyl-L-Ala-g-D-Glu-L-Lys-D-Ala-D-Ala) // UDP-MurNAc-pentapeptide	C3
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate // UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-diaminopimelate // UDP-MurNAc-L-Ala-gamma-D-Glu-meso-A2pm // UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate	UDP-AAGM-DIAMINOHEPTANEDIOATE
a nucleotide	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine // UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate- D-alanyl-D-alanine	C1
a nucleotide	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate-D-alanine // UDP-MurNAc-tetrapeptide // uridine 5'-pyrophosphoryl N-acetylmuramyl-tetrapeptide	UDP-MURNAC-TETRAPEPTIDE
a nucleotide	UMP	uridylate // 5'-UMP // uridine 5'-phosphate // 5'-uridylic acid (8CI)(9CI) // uridine monophosphate // uridine 5'-monophosphate	UMP
a nucleotide	uridine 2'-monophosphate	2'-uridylic acid // uridine 2'-phosphate	CPD-3723
a nucleotide	uridine 2'3'-cyclic monophosphate	2',3'-Cyclic UMP	CPD-3725
a nucleotide	UTP	uridine-triphosphate // uridine-5'-triphosphate	UTP
a nucleotide	vidarabine phosphate	adenine-9-beta-D-arabinofuranoside 5'-monophosphate // araAMP	CPD0-1139
a nucleotide	XDP	xanthosine diphosphate	XDP
a nucleotide	XMP	(9-D-ribosylxanthine) 5'-phosphate // xanthosine 5-phosphate // xanthosine 5'-phosphate // xanthosine-5-P // xanthosine-5'-P // 9-(5-phospho-beta-D-ribosyl)xanthine	XANTHOSINE-5-PHOSPHATE
a nucleotide	XTP	xanthosine 5' triphosphate	XTP
